pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd
42_1_PFM,Oi,NA,Oi,0,6,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_1_PFM Oi,NA,NA,NA,NA,NA,NA,NA
42_1_PFM,Oe,NA,Oe,6,11,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_1_PFM Oe,NA,NA,NA,NA,NA,NA,NA
42_1_PFM,Oa,NA,Oa,11,14,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1mgr,NA,as,0,f,Y,NA,42_1_PFM Oa,NA,NA,NA,NA,NA,NA,NA
42_1_PFM,E,NA,E,14,38,24,7.5YR5/1,7.5YR,5,1,7.5YR6/1,NA,NA,NA,sl,2msbk,fr,NA,10,0,Y,NA,42_1_PFM E,NA,NA,NA,NA,NA,NA,NA
42_1_PFM,R,NA,R,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,42_1_PFM R,NA,NA,NA,NA,NA,NA,NA
42_1_V1.1,O,NA,O,0,6,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,42_1_V1.1 O,NA,NA,NA,NA,NA,NA,NA
42_1_V1.1,R,NA,R,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_1_V1.1 R,NA,NA,NA,NA,NA,NA,NA
42_2_PFM,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_2_PFM Oi,NA,NA,NA,NA,NA,NA,NA
42_2_PFM,Oe,NA,Oe,3,6,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_2_PFM Oe,NA,NA,NA,NA,NA,NA,NA
42_2_PFM,Oa,NA,Oa,6,8,2,7.5YR3/1,7.5YR,3,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,NA,42_2_PFM Oa,NA,26.43682,1.3023,20.30004,45.57708,0.45577,0.22315
42_2_PFM,E1,NA,E1,8,32,24,5YR5/1,5YR,5,1,5YR4/2,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,Y,42_2_PFM E1,3.28,5.49941,0.98538,5.58098,9.48098,0.09481,0.6764
42_2_PFM,E2,NA,E2,32,47,15,7.5YR4/2,7.5YR,4,2,7.5YR3/2,NA,NA,NA,ls,2msbk,fr,NA,15,f,Y,Y,42_2_PFM E2,3.63,0.64498,0.02964,21.76427,1.11194,0.01112,1.27851
42_2_PFM,R,NA,R,47,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,42_2_PFM R,NA,NA,NA,NA,NA,NA,NA
42_2_V2.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_2_V2.1 Oi,NA,NA,NA,NA,NA,NA,NA
42_2_V2.1,Oe,NA,Oe,3,6,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_2_V2.1 Oe,NA,NA,NA,NA,NA,NA,NA
42_2_V2.1,Oa,NA,Oa,6,8,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,NA,NA,Y,Y,42_2_V2.1 Oa,NA,10.15645,0.43907,23.13158,17.50972,0.1751,0.46591
42_2_V2.1,E,1,E.1,8,14,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1 E.1,3.22,1.15007,0.07701,14.93396,1.98273,0.01983,1.17013
42_2_V2.1,E,2,E.2,14,20,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1 E.2,3.35,0.93581,0.07661,12.2154,1.61333,0.01613,1.21378
42_2_V2.1,E,3,E.3,20,28,8,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1 E.3,3.43,0.69034,0.04686,14.73308,1.19014,0.0119,1.26796
42_2_V2.1,E,4,E.4,28,32,4,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1 E.4,4.48,0.50446,0.04238,11.904,0.86968,0.0087,1.31232
